title,tmdb_id,release_date,trailer_id,poster_path,overview,comment_count,runtime,genres,production_companies,tmdb_vote_average,tmdb_vote_count,budget,revenue,popularity,box_office,imdb_rating,imdb_votes,imdb_id,metacritic,rated,awards,director,actors
Anora,1064213,2024-10-14,8m6UrWMl18M,/7MrgIUeq0DD2iF7GR6wqJfYZNeC.jpg,"A young sex worker from Brooklyn gets her chance at a Cinderella story when she meets and impulsively marries the son of an oligarch. Once the news reaches Russia, her fairytale is threatened as his parents set out to get the marriage annulled.",208,139,"Drama, Comedy, Romance","Cre Film, FilmNation Entertainment",7.1,1936,6000000,51868503,52.6544,"$16,300,129",7.8,"122,308",tt28607951,91,R,Won 5 Oscars. 144 wins & 267 nominations total,Sean Baker,"Mikey Madison, Paul Weissman, Yura Borisov"
The Wild Robot,1184918,2024-09-12,VUCNBAmse04,/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg,"After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.",300,102,"Animation, Science Fiction, Family",DreamWorks Animation,8.335,4626,78000000,331982078,52.3186,"$143,901,945",8.2,"151,636",tt29623480,85,PG,Nominated for 3 Oscars. 85 wins & 104 nominations total,Chris Sanders,"Lupita Nyong'o, Pedro Pascal, Kit Connor"
Love Hurts,1226406,2025-02-06,y7_gi1-bIJs,/skPPVeHoTTVVSJlb0Ib5vrqiuA4.jpg,"A realtor is pulled back into the life he left behind after his former partner-in-crime resurfaces with an ominous message. With his crime-lord brother also on his trail, he must confront his past and the history he never fully buried.",185,83,"Action, Comedy, Romance","87North Productions, Universal Pictures, dentsu",5.94,142,18000000,16958671,49.7896,"$15,683,090",5.3,"6,793",tt30788842,34,R,N/A,Jonathan Eusebio,"Ke Huy Quan, Ariana DeBose, Mustafa Shakir"
Inside Out 2,1022789,2024-06-11,u69y5Ie519M,/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",300,97,"Animation, Adventure, Comedy, Family","Walt Disney Pictures, Pixar",7.6,5705,200000000,1698863816,49.6231,"$652,980,194",7.5,"211,354",tt22022452,73,PG,Nominated for 1 Oscar. 4 wins & 105 nominations total,Kelsey Mann,"Amy Poehler, Maya Hawke, Kensington Tallman"
Dog Man,774370,2025-01-24,QaJbAennB_Q,/89wNiexZdvLQ41OQWIsQy4O6jAQ.jpg,"When a faithful police dog and his human police officer owner are injured together on the job, a harebrained but life-saving surgery fuses the two of them together and Dog Man is born. Dog Man is sworn to protect and serve—and fetch, sit and roll over. As Dog Man embraces his new identity and strives to impress his Chief, he must stop the pretty evil plots of feline supervillain Petey the Cat.",300,89,"Family, Animation, Comedy, Action",DreamWorks Animation,7.8,183,40000000,114192145,43.9066,"$90,317,665",6.5,"6,663",tt10954718,66,PG,N/A,Peter Hastings,"Pete Davidson, Poppy Liu, Lil Rel Howery"
The Godfather,238,1972-03-14,Ew9ngL1GZvs,/3bhkrj58Vtu7enYsRolD1fZdja1.jpg,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",246,175,"Drama, Crime","Paramount Pictures, Alfran Productions",8.686,21256,6000000,245066411,43.2585,"$136,381,073",9.2,"2,108,592",tt0068646,100,R,Won 3 Oscars. 31 wins & 31 nominations total,Francis Ford Coppola,"Marlon Brando, Al Pacino, James Caan"
Blade Runner 2049,335984,2017-10-04,geFtxCSz8xI,/gajva2L0rPYkEWjzgFlBXCAVBE5.jpg,"Thirty years after the events of the first film, a new blade runner, LAPD Officer K, unearths a long-buried secret that has the potential to plunge what's left of society into chaos. K's discovery leads him on a quest to find Rick Deckard, a former LAPD blade runner who has been missing for 30 years.",300,164,"Science Fiction, Drama","Alcon Entertainment, Columbia Pictures, Scott Free Productions, Bud Yorkin Productions, Torridon Films, 16:14 Entertainment",7.576,14004,150000000,259239658,42.1022,"$92,071,675",8.0,"707,502",tt1856101,81,R,Won 2 Oscars. 100 wins & 163 nominations total,Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas"
Interstellar,157336,2014-11-05,LY19rHKAaAg,/gEU2QniE6E77NI6lCU6MxlNBvIx.jpg,The adventures of a group of explorers who make use of a newly discovered wormhole to surpass the limitations on human space travel and conquer the vast distances involved in an interstellar voyage.,116,169,"Adventure, Drama, Science Fiction","Legendary Pictures, Syncopy, Lynda Obst Productions",8.453,36847,165000000,746606706,42.2799,"$203,227,580",8.7,"2,301,429",tt0816692,74,PG-13,Won 1 Oscar. 44 wins & 148 nominations total,Christopher Nolan,"Matthew McConaughey, Anne Hathaway, Jessica Chastain"
The Shawshank Redemption,278,1994-09-23,PLl99DlL6b4,/9cqNxx0GxF0bflZmeSMuL5tnGzr.jpg,"Imprisoned in the 1940s for the double murder of his wife and her lover, upstanding banker Andy Dufresne begins a new life at the Shawshank prison, where he puts his accounting skills to work for an amoral warden. During his long stretch in prison, Dufresne comes to be admired by the other inmates -- including an older prisoner named Red -- for his integrity and unquenchable sense of hope.",250,142,"Drama, Crime",Castle Rock Entertainment,8.708,28042,25000000,28341469,43.5574,"$28,767,189",9.3,"3,015,278",tt0111161,82,R,Nominated for 7 Oscars. 21 wins & 42 nominations total,Frank Darabont,"Tim Robbins, Morgan Freeman, Bob Gunton"
Last Breath,972533,2025-02-27,sNMyooXZZTM,/w04Xg5Bnqj7ECdCxTsHgqK6AtJW.jpg,Seasoned deep-sea divers battle the raging elements to rescue their crewmate trapped hundreds of feet below the ocean's surface.,300,93,"Thriller, Drama","Dark Castle Entertainment, MetFilm Production, Longshot Films, Floating Harbour, FilmNation Entertainment, Thing 44, Aperture Media Partners",6.142,106,23800000,22761967,40.9045,N/A,7.7,"7,864",tt9056818,61,TV-MA,N/A,"Richard da Costa, Alex Parkinson","Duncan Allcock, Kjetil Ove Alvestad, Stuart Anderson"
28 Days Later,170,2002-10-31,mWEhfF27O0c,/sQckQRt17VaWbo39GIu0TMOiszq.jpg,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",300,113,"Horror, Thriller, Science Fiction",DNA Films,7.23,7019,8000000,84661434,21.5785,"$45,064,915",7.5,"467,604",tt0289043,73,R,10 wins & 32 nominations total,Danny Boyle,"Cillian Murphy, Naomie Harris, Christopher Eccleston"
Avengers: Infinity War,299536,2018-04-25,QwievZ1Tx-8,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",300,149,"Adventure, Action, Science Fiction",Marvel Studios,8.2,30369,300000000,2052415039,38.7281,"$678,815,482",8.4,"1,263,980",tt4154756,68,PG-13,Nominated for 1 Oscar. 48 wins & 81 nominations total,"Anthony Russo, Joe Russo","Robert Downey Jr., Chris Hemsworth, Mark Ruffalo"
Novocaine,1195506,2025-03-12,99BLnkAlC1M,/xmMHGz9dVRaMY6rRAlEX4W0Wdhm.jpg,"When the girl of his dreams is kidnapped, everyman Nate turns his inability to feel pain into an unexpected strength in his fight to get her back.",200,109,"Action, Comedy, Thriller","Circle of Confusion, Safehouse Pictures, Paramount Pictures, Infrared Pictures, Domain Entertainment, FilmNation Entertainment, Mediaflix",6.952,147,18000000,28090637,36.179,"$2,036,682",5.8,"11,952",tt0234354,45,R,N/A,David Atkins,"Steve Martin, Helena Bonham Carter, Chelcie Ross"
Wicked,402431,2024-11-20,pqi45Qhq3CI,/xDGbZ0JJ3mYaGKy4Nzd9Kph6M9L.jpg,"In the land of Oz, ostracized and misunderstood green-skinned Elphaba is forced to share a room with the popular aristocrat Glinda at Shiz University, and the two's unlikely friendship is tested as they begin to fulfill their respective destinies as Glinda the Good and the Wicked Witch of the West.",300,162,"Drama, Romance, Fantasy","Universal Pictures, Marc Platt Productions",6.932,2005,150000000,747289164,38.0792,"$473,231,120",7.5,"140,661",tt1262426,73,PG,Won 2 Oscars. 112 wins & 300 nominations total,Jon M. Chu,"Cynthia Erivo, Ariana Grande, Jeff Goldblum"
Heretic,1138194,2024-10-31,jpWUOxRozZg,/fr96XzlzsONrQrGfdLMiwtQjott.jpg,"Two young missionaries are forced to prove their faith when they knock on the wrong door and are greeted by a diabolical Mr. Reed, becoming ensnared in his deadly game of cat-and-mouse.",300,111,"Horror, Thriller","A24, Beck/Woods, Shiny Penny Productions, CatchLight Studios",7.1,1461,10000000,51913394,36.0111,"$27,986,380",7.0,"115,341",tt28015403,71,R,Nominated for 1 BAFTA Award29 nominations total,"Scott Beck, Bryan Woods","Hugh Grant, Sophie Thatcher, Chloe East"
Red One,845781,2024-10-31,7l3hfD74X-4,/cdqLnri3NEGcmfnqwk2TSIYtddg.jpg,"After Santa Claus (codename: Red One) is kidnapped, the North Pole's Head of Security must team up with the world's most infamous tracker in a globe-trotting, action-packed mission to save Christmas.",300,124,"Action, Comedy, Fantasy","Seven Bucks Productions, The Detective Agency, Chris Morgan Productions, Metro-Goldwyn-Mayer",7.06,2422,250000000,185700759,35.5794,"$97,000,759",6.3,"137,223",tt14948432,34,PG-13,7 nominations total,Jake Kasdan,"Dwayne Johnson, Chris Evans, Lucy Liu"
The Glassworker,629078,2024-07-26,mTuPHCyV6mw,/Aj4IhLVphVwKuZrE5EcSGTUMmk2.jpg,A young glassworker-in-training living with his pacifist father finds his apprenticeship upended by an impending war and the arrival of an army colonel to their seaside town.,300,98,"Animation, Family, Romance, War",Mano Animation Studios,8.1,12,116000,108000,35.4125,N/A,8.3,"1,177",tt5986440,N/A,N/A,1 win & 4 nominations,Usman Riaz,"Art Malik, Sacha Dhawan, Anjli Mohindra"
Nosferatu,426063,2024-12-25,nulvWqYUM8k,/5qGIxdEO841C0tdY8vOdLoRVrr0.jpg,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake.",300,133,"Fantasy, Horror","Focus Features, Studio 8, Maiden Voyage Pictures, Birch Hill Road Entertainment",6.699,2449,50000000,177225075,34.8079,"$95,608,235",7.3,"169,753",tt5040012,78,R,Nominated for 4 Oscars. 57 wins & 177 nominations total,Robert Eggers,"Lily-Rose Depp, Nicholas Hoult, Bill Skarsgård"
Bad Boys: Ride or Die,573435,2024-06-05,uWLNl_KQCAU,/oGythE98MYleE6mZlGs5oBGkux1.jpg,"After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.",193,115,"Action, Comedy, Crime, Thriller, Adventure","Westbrook, Columbia Pictures, Don Simpson/Jerry Bruckheimer Films, 2.0 Entertainment",7.4,2819,100000000,404547819,34.6945,"$193,573,217",6.5,"95,215",tt4919268,54,R,4 nominations total,"Adil El Arbi, Bilall Fallah","Will Smith, Martin Lawrence, Vanessa Hudgens"
Apocalypse Z: The Beginning of the End,1118031,2024-10-04,ZOSw6sx43fA,/wIGJnIFQlESkC2rLpfA8EDHqk4g.jpg,"When a kind of rabies that transforms people into aggressive creatures spreads across the planet, Manel isolates himself at home with his cat, relying on his wits to survive; but soon they must go out in search of food, by land and by sea, dodging many dangers.",300,119,"Drama, Action, Horror",Nostromo Pictures,6.7,1016,0,500000,33.5221,N/A,6.1,"16,867",tt27599851,N/A,N/A,N/A,Carles Torrens,"Iria del Río, José María Yazpik, Berta Vázquez"
Fast X,385687,2023-05-17,eoOaKN4qCKw,/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,"Over many missions and against impossible odds, Dom Toretto and his family have outsmarted, out-nerved and outdriven every foe in their path. Now, they confront the most lethal opponent they've ever faced: A terrifying threat emerging from the shadows of the past who's fueled by blood revenge, and who is determined to shatter this family and destroy everything—and everyone—that Dom loves, forever.",300,142,"Action, Crime, Thriller, Adventure, Mystery","Universal Pictures, Original Film, One Race, Perfect Storm Entertainment",7.049,5831,340000000,704709660,33.4227,"$146,126,015",5.7,"129,963",tt5433140,56,PG-13,2 wins & 15 nominations total,Louis Leterrier,"Vin Diesel, Michelle Rodriguez, Jason Statham"
The Lord of the Rings: The War of the Rohirrim,839033,2024-12-05,gCUg6Td5fgQ,/cXzCOx1hUuU9CfmiEv6rXjb6EqU.jpg,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg.",300,134,"Animation, Fantasy, Adventure, Action","New Line Cinema, Warner Bros. Animation, Sola Entertainment, Middle-earth Enterprises, WingNut Films, Domain Entertainment",6.648,523,30000000,19958572,32.7594,"$8,590,000",6.5,"14,353",tt14824600,54,PG-13,N/A,Kenji Kamiyama,"Brian Cox, Gaia Wise, Miranda Otto"
Smile 2,1100782,2024-10-16,FU_bAopCcSE,/ht8Uv9QPv9y7K0RvUyJIaXOZTfd.jpg,"About to embark on a new world tour, global pop sensation Skye Riley begins experiencing increasingly terrifying and inexplicable events. Overwhelmed by the escalating horrors and the pressures of fame, Skye is forced to face her dark past to regain control of her life before it spirals out of control.",300,127,"Horror, Mystery","Paramount Pictures, Temple Hill Entertainment, Bad Feeling",6.6,1400,28000000,138083280,31.9379,"$69,012,586",6.7,"93,967",tt29268110,67,R,2 wins & 13 nominations total,Parker Finn,"Naomi Scott, Rosemarie DeWitt, Lukas Gage"
Top Gun: Maverick,361743,2022-05-21,giXco2jaZ_4,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",300,131,"Action, Drama","Skydance Media, Don Simpson/Jerry Bruckheimer Films, Paramount Pictures",8.181,9699,170000000,1488732821,37.3158,"$718,732,821",8.2,"754,892",tt1745960,78,PG-13,Won 1 Oscar. 111 wins & 238 nominations total,Joseph Kosinski,"Tom Cruise, Jennifer Connelly, Miles Teller"
Fight Club,550,1999-10-15,dfeUzm6KF4g,/pB8BM7pdSp6B6Ih7QZ4DrQ3PmJK.jpg,"A ticking-time-bomb insomniac and a slippery soap salesman channel primal male aggression into a shocking new form of therapy. Their concept catches on, with underground ""fight clubs"" forming in every town, until an eccentric gets in the way and ignites an out-of-control spiral toward oblivion.",300,139,Drama,"Fox 2000 Pictures, Regency Enterprises, Linson Entertainment, 20th Century Fox, Taurus Film",8.4,30090,63000000,100853753,31.2927,"$37,030,102",8.8,"2,441,943",tt0137523,67,R,Nominated for 1 Oscar. 12 wins & 38 nominations total,David Fincher,"Brad Pitt, Edward Norton, Meat Loaf"
Babygirl,1097549,2024-12-25,9XXoNB0lVGo,/A8HbTd0FemZyFCh5qvJFpHGiwF8.jpg,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much younger intern.,300,115,Drama,"A24, 2AM, Man Up Film",5.8,604,20000000,60934894,31.0574,"$28,196,732",6.0,"47,464",tt30057084,79,R,8 wins & 25 nominations total,Halina Reijn,"Nicole Kidman, Harris Dickinson, Antonio Banderas"
The Avengers,24428,2012-04-25,hIR8Ar-Z4hw,/RYMX2wcKCBAr24UyPD7xwmjaTn.jpg,"When an unexpected enemy emerges and threatens global safety and security, Nick Fury, director of the international peacekeeping agency known as S.H.I.E.L.D., finds himself in need of a team to pull the world back from the brink of disaster. Spanning the globe, a daring recruitment effort begins!",300,143,"Science Fiction, Action, Adventure",Marvel Studios,7.7,31467,220000000,1518815515,31.0014,"$623,357,910",8.0,"1,500,024",tt0848228,69,PG-13,Nominated for 1 Oscar. 39 wins & 81 nominations total,Joss Whedon,"Robert Downey Jr., Chris Evans, Scarlett Johansson"
The Dark Knight,155,2008-07-16,_PZpmTj1Q8Q,/qJ2tW6WMUDux911r6m7haRef0WH.jpg,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",300,152,"Drama, Action, Crime, Thriller","Warner Bros. Pictures, Legendary Pictures, Syncopy, DC",8.519,33645,185000000,1004558444,33.0251,"$534,987,076",9.0,"2,997,696",tt0468569,84,PG-13,Won 2 Oscars. 164 wins & 165 nominations total,Christopher Nolan,"Christian Bale, Heath Ledger, Aaron Eckhart"
Titanic,597,1997-11-18,wO44qBPBG4c,/9xjZS2rlVxm8SFx8kPC3aIGCOYQ.jpg,"101-year-old Rose DeWitt Bukater tells the story of her life aboard the Titanic, 84 years later. A young Rose boards the ship with her mother and fiancé. Meanwhile, Jack Dawson and Fabrizio De Rossi win third-class tickets aboard the ship. Rose tells the whole story from Titanic's departure through to its death—on its first and last voyage—on April 15, 1912.",297,194,"Drama, Romance","Paramount Pictures, 20th Century Fox, Lightstorm Entertainment",7.9,25846,200000000,2264162353,30.6823,"$674,292,608",7.9,"1,322,762",tt0120338,75,PG-13,Won 11 Oscars. 126 wins & 83 nominations total,James Cameron,"Leonardo DiCaprio, Kate Winslet, Billy Zane"
